,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,ASIANPAINT,EQ,1125.0,1128.85,1099.0,1109.15,1110.0,1134.15,930404,1031024935.0,2017-06-28,38589,INE021A01026
1,ASIANPAINT,EQ,1157.5,1174.9,1150.15,1171.0,1170.0,1156.5,445227,519027732.95,2017-11-28,17566,INE021A01026
2,ASIANPAINT,EQ,1003.1,1026.8,998.15,1024.2,1025.8,1001.95,1368244,1384214422.35,2017-02-28,52119,INE021A01026
3,ASIANPAINT,EQ,1106.6,1124.95,1105.35,1120.45,1122.0,1105.35,1012065,1131321043.2,2017-04-28,39438,INE021A01026
4,ASIANPAINT,EQ,1081.8,1083.0,1067.15,1079.7,1081.5,1079.45,423077,455025725.1,2017-03-20,16569,INE021A01026
5,ASIANPAINT,EQ,967.4,973.55,957.75,964.7,960.95,967.2,1206139,1163029121.85,2017-01-23,35182,INE021A01026
6,ASIANPAINT,EQ,1170.2,1179.0,1127.0,1132.95,1135.0,1166.45,2500503,2847289051.0,2017-05-12,46369,INE021A01026
7,ASIANPAINT,EQ,1045.0,1061.95,1045.0,1057.85,1061.9,1042.9,452398,477409959.15,2017-03-28,17904,INE021A01026
8,ASIANPAINT,EQ,1056.0,1062.75,1042.5,1058.8,1060.0,1048.9,493562,518925440.0,2017-04-20,24358,INE021A01026
9,ASIANPAINT,EQ,1154.35,1155.3,1129.0,1141.3,1140.0,1154.0,857454,976502702.85,2017-08-16,38844,INE021A01026
10,ASIANPAINT,EQ,1143.0,1148.9,1127.1,1146.1,1148.0,1144.5,997619,1136102963.0,2017-08-03,37568,INE021A01026
11,ASIANPAINT,EQ,961.0,979.95,953.85,975.75,977.5,960.8,1092302,1058898701.5,2017-02-20,58513,INE021A01026
12,ASIANPAINT,EQ,1155.1,1156.85,1144.5,1149.45,1150.0,1154.15,804319,924283359.7,2017-06-20,29440,INE021A01026
